plant,customer,distance,locations
plant_2,customer_128,500.71,"[-81.066481, 37.150221]"
plant_2,customer_135,43.27,"[-83.2732, 42.551081]"
plant_2,customer_139,1090.86,"[-93.023093, 32.203119]"
plant_2,customer_142,651.6,"[-82.429427, 35.618511]"
plant_2,customer_144,859.82,"[-89.755509, 33.914063]"
plant_2,customer_146,1007.63,"[-93.274745, 33.41125]"
plant_2,customer_147,1096.69,"[-92.446974, 32.058432]"
plant_2,customer_148,1489.65,"[-102.498932, 32.405262]"
plant_2,customer_149,1034.16,"[-93.264086, 33.107796]"
plant_2,customer_150,784.76,"[-90.988379, 35.527373]"
plant_2,customer_151,655.79,"[-89.747728, 36.481716]"
plant_2,customer_154,1371.48,"[-100.989135, 32.789566]"
plant_2,customer_159,904.58,"[-93.967264, 35.63687]"
plant_2,customer_161,1008.08,"[-94.192765, 34.322428]"
plant_2,customer_162,837.52,"[-88.894124, 33.520435]"
plant_2,customer_164,743.57,"[-85.719681, 33.88894]"
plant_2,customer_166,506.17,"[-77.623197, 39.343855]"
plant_2,customer_169,688.0,"[-87.025061, 34.36266]"
plant_2,customer_172,653.28,"[-87.28252, 35.039849]"
plant_2,customer_173,1457.45,"[-102.731391, 33.068569]"
plant_2,customer_176,429.75,"[-82.222238, 37.85643]"
plant_2,customer_177,1220.3,"[-98.333462, 33.334719]"
plant_2,customer_178,501.83,"[-86.492109, 36.919549]"
plant_2,customer_179,822.91,"[-86.2689, 32.778382]"
plant_2,customer_180,661.58,"[-88.955489, 36.180572]"
plant_2,customer_183,1365.69,"[-101.556273, 33.621196]"
plant_2,customer_185,1106.27,"[-94.201025, 32.425089]"
plant_2,customer_191,1234.86,"[-97.050624, 32.339706]"
plant_2,customer_193,823.12,"[-87.850058, 32.914681]"
plant_2,customer_194,643.69,"[-88.478646, 36.248479]"
plant_2,customer_195,338.44,"[-79.467811, 40.371319]"
plant_2,customer_196,667.87,"[-88.931807, 36.035077]"
plant_2,customer_202,1178.0,"[-99.164474, 34.392414]"
plant_2,customer_206,1134.74,"[-95.552292, 32.872611]"
plant_2,customer_207,967.37,"[-91.562084, 32.825533]"
plant_2,customer_211,1461.42,"[-101.658174, 32.624494]"
plant_2,customer_216,275.53,"[-80.622259, 40.646771]"
plant_2,customer_217,1311.71,"[-99.905346, 32.622764]"
plant_2,customer_218,917.4,"[-90.235788, 33.466932]"
plant_2,customer_220,1469.32,"[-103.506459, 33.512406]"
plant_2,customer_221,935.01,"[-89.19509, 32.136275]"
plant_2,customer_223,945.58,"[-90.262907, 32.765704]"
plant_2,customer_227,851.07,"[-89.766549, 34.070688]"
plant_2,customer_231,489.76,"[-78.252587, 39.035022]"
plant_2,customer_235,1253.19,"[-97.523495, 32.917792]"
plant_2,customer_241,1017.35,"[-91.797593, 32.182866]"
plant_2,customer_246,835.58,"[-88.609779, 33.324347]"
plant_2,customer_247,343.98,"[-79.714641, 40.14654]"
plant_2,customer_248,1086.38,"[-94.719732, 32.824375]"
plant_3,customer_1,426.32,"[-97.400281, 33.119504]"
plant_3,customer_2,867.92,"[-104.146281, 34.045009]"
plant_3,customer_4,371.36,"[-86.024723, 33.64755]"
plant_3,customer_5,887.6,"[-104.642711, 32.647087]"
plant_3,customer_10,702.87,"[-81.36037, 36.622746]"
plant_3,customer_14,484.19,"[-98.399894, 33.51573]"
plant_3,customer_15,979.89,"[-77.695401, 38.979039]"
plant_3,customer_21,238.2,"[-94.272464, 33.879494]"
plant_3,customer_24,839.04,"[-85.393407, 43.555699]"
plant_3,customer_26,248.87,"[-88.470236, 35.887553]"
plant_3,customer_27,433.77,"[-85.306892, 34.05084]"
plant_3,customer_28,524.79,"[-84.385289, 36.603522]"
plant_3,customer_31,91.14,"[-91.070835, 33.294127]"
plant_3,customer_33,208.07,"[-89.146373, 35.576094]"
plant_3,customer_42,501.54,"[-98.985873, 34.036948]"
plant_3,customer_44,239.51,"[-88.339312, 34.56966]"
plant_3,customer_45,425.74,"[-85.3432, 34.674826]"
plant_3,customer_49,367.08,"[-86.15226, 34.385553]"
plant_3,customer_51,937.55,"[-79.380349, 40.028771]"
plant_3,customer_52,915.22,"[-79.875215, 40.158978]"
plant_3,customer_55,552.24,"[-83.641023, 35.814402]"
plant_3,customer_61,178.46,"[-93.824881, 34.072716]"
plant_3,customer_65,775.34,"[-102.589507, 33.911307]"
plant_3,customer_67,633.94,"[-100.85088, 32.629017]"
plant_3,customer_68,304.02,"[-88.004147, 33.014059]"
plant_3,customer_71,153.37,"[-93.38638, 34.016592]"
plant_3,customer_74,251.55,"[-89.813252, 36.701256]"
plant_3,customer_78,697.31,"[-101.13903, 34.352121]"
plant_3,customer_80,202.47,"[-94.282043, 34.307716]"
plant_3,customer_82,115.53,"[-91.48747, 32.820359]"
plant_3,customer_86,456.37,"[-84.966037, 34.754311]"
plant_3,customer_87,277.57,"[-87.481247, 34.346046]"
plant_3,customer_88,349.76,"[-96.375459, 33.061658]"
plant_3,customer_90,353.85,"[-87.599853, 36.929183]"
plant_3,customer_92,328.76,"[-88.057566, 36.699237]"
plant_3,customer_97,199.79,"[-94.150853, 34.162888]"
plant_3,customer_100,336.55,"[-88.143854, 32.701764]"
plant_3,customer_101,424.67,"[-85.26517, 34.427289]"
plant_3,customer_103,551.99,"[-83.637411, 36.183039]"
plant_3,customer_106,983.28,"[-88.965577, 45.709573]"
plant_3,customer_107,681.65,"[-81.644252, 36.618928]"
plant_3,customer_108,693.67,"[-82.728105, 37.998574]"
plant_3,customer_111,93.98,"[-92.679021, 34.281537]"
plant_3,customer_117,263.26,"[-89.209225, 36.494944]"
plant_3,customer_124,193.47,"[-93.073687, 32.774364]"
plant_3,customer_127,798.97,"[-80.419321, 37.7234]"
plant_3,customer_128,728.6,"[-81.066481, 37.150221]"
plant_3,customer_135,874.53,"[-83.2732, 42.551081]"
plant_3,customer_139,228.1,"[-93.023093, 32.203119]"
plant_3,customer_142,651.35,"[-82.429427, 35.618511]"
plant_3,customer_144,149.76,"[-89.755509, 33.914063]"
plant_3,customer_146,158.37,"[-93.274745, 33.41125]"
plant_3,customer_147,211.11,"[-92.446974, 32.058432]"
plant_3,customer_148,736.62,"[-102.498932, 32.405262]"
plant_3,customer_149,171.06,"[-93.264086, 33.107796]"
plant_3,customer_150,106.03,"[-90.988379, 35.527373]"
plant_3,customer_151,226.25,"[-89.747728, 36.481716]"
plant_3,customer_154,649.16,"[-100.989135, 32.789566]"
plant_3,customer_159,232.34,"[-93.967264, 35.63687]"
plant_3,customer_161,194.99,"[-94.192765, 34.322428]"
plant_3,customer_162,228.07,"[-88.894124, 33.520435]"
plant_3,customer_164,400.92,"[-85.719681, 33.88894]"
